time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
541,16,394.0,0.0,520.0
542,12,399.0,0.0,517.0
543,20,406.0,0.0,506.0
544,23,413.0,0.0,506.0
545,11,409.0,0.0,525.0
546,20,415.0,0.0,534.0
547,20,427.0,0.0,534.0
548,22,422.0,0.0,534.0
549,29,419.0,0.0,531.0
550,19,419.0,0.0,545.0
551,30,429.0,0.0,539.0
552,23,443.0,0.0,532.0
553,39,449.0,0.0,521.0
554,34,441.0,0.0,532.0
555,29,438.0,0.0,547.0
556,28,439.0,0.0,549.0
557,36,452.0,0.0,543.0
558,47,452.0,0.0,527.0
559,30,438.0,0.0,541.0
560,44,439.0,0.0,525.0
561,32,433.0,0.0,538.0
562,36,427.0,0.0,536.0
563,33,420.0,0.0,540.0
564,26,420.0,0.0,545.0
565,26,414.0,0.0,545.0
566,22,414.0,0.0,544.0
567,42,414.0,0.0,531.0
568,24,397.0,0.0,545.0
569,21,401.0,0.0,546.0
570,26,397.0,0.0,543.0
571,24,406.0,0.0,536.0
572,16,411.0,0.0,538.0
573,32,419.0,0.0,523.0
574,32,419.0,0.0,510.0
575,16,395.0,0.0,526.0
576,14,388.0,0.0,539.0
577,27,380.0,0.0,530.0
578,15,372.0,0.0,536.0
579,14,357.0,0.0,539.0
580,14,346.0,0.0,543.0
581,14,336.0,0.0,545.0
582,20,327.0,0.0,536.0
583,11,311.0,0.0,542.0
584,12,300.0,0.0,543.0
585,11,289.0,0.0,547.0
586,15,281.0,0.0,547.0
587,14,288.0,0.0,548.0
588,15,311.0,0.0,549.0
589,20,326.0,0.0,549.0
590,18,331.0,0.0,559.0
591,12,337.0,0.0,561.0
592,19,349.0,0.0,557.0
593,23,352.0,0.0,557.0
594,21,359.0,0.0,562.0
595,31,379.0,0.0,552.0
596,22,383.0,0.0,552.0
597,25,391.0,0.0,550.0
598,26,382.0,0.0,556.0
599,21,397.0,0.0,557.0
600,48,406.0,0.0,537.0
601,38,398.0,0.0,539.0
602,28,418.0,0.0,554.0
603,20,433.0,0.0,561.0
604,22,447.0,0.0,555.0
605,36,465.0,0.0,542.0
606,22,468.0,0.0,545.0
607,12,459.0,0.0,564.0
608,33,460.0,0.0,543.0
609,27,469.0,0.0,540.0
610,40,467.0,0.0,532.0
611,37,472.0,0.0,523.0
612,29,451.0,0.0,534.0
613,23,447.0,0.0,539.0
614,20,449.0,0.0,542.0
615,20,471.0,0.0,544.0
616,29,498.0,0.0,527.0
617,38,486.0,0.0,521.0
618,39,489.0,0.0,504.0
619,32,478.0,0.0,515.0
620,22,460.0,0.0,535.0
621,33,461.0,0.0,521.0
622,34,456.0,0.0,526.0
623,18,436.0,0.0,536.0
624,29,425.0,0.0,523.0
625,17,414.0,0.0,528.0
626,5,390.0,0.0,550.0
627,11,382.0,0.0,554.0
628,9,380.0,0.0,554.0
629,12,376.0,0.0,550.0
630,4,370.0,0.0,553.0
631,17,372.0,0.0,536.0
632,6,369.0,0.0,535.0
633,8,380.0,0.0,518.0
634,11,387.0,0.0,506.0
635,19,392.0,0.0,496.0
636,33,398.0,0.0,495.0
637,16,405.0,0.0,505.0
638,19,406.0,0.0,509.0
639,20,406.0,0.0,518.0
640,22,405.0,0.0,522.0
641,30,405.0,0.0,522.0
642,17,402.0,0.0,535.0
643,27,404.0,0.0,538.0
644,20,429.0,0.0,548.0
645,14,430.0,0.0,554.0
646,27,437.0,0.0,553.0
647,20,444.0,0.0,549.0
648,28,456.0,0.0,537.0
649,29,452.0,0.0,546.0
650,34,452.0,0.0,541.0
651,28,455.0,0.0,544.0
652,35,456.0,0.0,546.0
653,36,454.0,0.0,544.0
654,28,448.0,0.0,547.0
655,32,472.0,0.0,545.0
656,18,472.0,0.0,550.0
657,32,478.0,0.0,543.0
658,24,469.0,0.0,550.0
659,18,478.0,0.0,547.0
660,42,477.0,0.0,530.0
661,22,475.0,0.0,529.0
662,18,477.0,0.0,528.0
663,30,487.0,0.0,521.0
664,24,494.0,0.0,521.0
665,27,498.0,0.0,523.0
666,28,496.0,0.0,525.0
667,40,497.0,0.0,508.0
668,27,490.0,0.0,519.0
669,24,488.0,0.0,522.0
670,31,485.0,0.0,513.0
671,13,472.0,0.0,525.0
672,25,465.0,0.0,530.0
673,11,455.0,0.0,533.0
674,13,445.0,0.0,543.0
675,12,443.0,0.0,544.0
676,18,430.0,0.0,545.0
677,15,420.0,0.0,545.0
