time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
737,8,467.0,0.0,585.0
738,35,489.0,0.0,559.0
739,20,526.0,0.0,569.0
740,27,540.0,0.0,569.0
741,15,541.0,0.0,581.0
742,27,553.0,0.0,569.0
743,29,558.0,0.0,567.0
744,21,572.0,0.0,574.0
745,17,574.0,0.0,577.0
746,20,591.0,0.0,572.0
747,26,598.0,0.0,566.0
748,18,607.0,0.0,575.0
749,34,607.0,0.0,561.0
750,27,613.0,0.0,564.0
751,25,611.0,0.0,566.0
752,23,622.0,0.0,567.0
753,21,631.0,0.0,571.0
754,51,649.0,0.0,541.0
755,33,626.0,0.0,558.0
756,23,610.0,0.0,569.0
757,17,611.0,0.0,574.0
758,25,622.0,0.0,566.0
759,23,627.0,0.0,569.0
760,31,636.0,0.0,560.0
761,20,625.0,0.0,570.0
762,25,629.0,0.0,564.0
763,29,638.0,0.0,559.0
764,43,644.0,0.0,539.0
765,24,645.0,0.0,542.0
766,16,640.0,0.0,556.0
767,18,634.0,0.0,559.0
768,18,633.0,0.0,561.0
769,18,623.0,0.0,569.0
770,17,620.0,0.0,568.0
771,13,608.0,0.0,573.0
772,16,611.0,0.0,567.0
773,16,597.0,0.0,569.0
774,18,579.0,0.0,570.0
775,6,562.0,0.0,582.0
776,14,562.0,0.0,575.0
777,10,558.0,0.0,573.0
778,14,552.0,0.0,579.0
779,13,558.0,0.0,579.0
780,15,569.0,0.0,580.0
781,11,588.0,0.0,580.0
782,13,601.0,0.0,580.0
783,20,613.0,0.0,574.0
784,9,615.0,0.0,587.0
785,16,629.0,0.0,581.0
786,18,657.0,0.0,579.0
787,15,667.0,0.0,582.0
788,26,687.0,0.0,571.0
789,28,700.0,0.0,565.0
790,24,718.0,0.0,565.0
791,22,739.0,0.0,571.0
792,24,756.0,0.0,567.0
793,20,769.0,0.0,572.0
794,31,781.0,0.0,560.0
795,17,777.0,0.0,570.0
796,16,790.0,0.0,575.0
797,18,810.0,0.0,572.0
798,18,827.0,0.0,571.0
799,30,843.0,0.0,562.0
800,32,859.0,0.0,555.0
801,21,860.0,0.0,564.0
802,28,854.0,0.0,563.0
803,39,859.0,0.0,553.0
804,16,855.0,0.0,572.0
805,20,855.0,0.0,571.0
806,58,877.0,0.0,534.0
807,39,841.0,0.0,553.0
808,35,832.0,0.0,557.0
809,27,837.0,0.0,556.0
810,33,845.0,0.0,552.0
811,27,837.0,0.0,559.0
812,33,843.0,0.0,556.0
